================================================================================
                        CMS SEEDER CREDENTIALS
                        Generated from seeder.js
================================================================================

--------------------------------------------------------------------------------
ADMIN
--------------------------------------------------------------------------------
Role            : Admin
Full Name       : System Administrator
Email           : admin@college.edu
Password        : admin123456
Phone           : 9999999999

================================================================================
DEPARTMENT: BCA (Bachelor of Computer Applications)
================================================================================

--- HOD ---
Full Name       : Dr. Rajesh Kumar
Email           : hod.bca@college.edu
Password        : hod123456
Phone           : 9876543210

--- TEACHERS ---
Full Name       : Prof. Neha Gupta
Email           : neha.gupta@college.edu
Password        : teacher123
Phone           : 9876543220
Specialization  : Programming Languages

Full Name       : Dr. Vikram Singh
Email           : vikram.singh@college.edu
Password        : teacher123
Phone           : 9876543221
Specialization  : Database Systems

Full Name       : Ms. Kavita Joshi
Email           : kavita.joshi@college.edu
Password        : teacher123
Phone           : 9876543222
Specialization  : Web Development

Full Name       : Prof. Rahul Verma
Email           : rahul.verma@college.edu
Password        : teacher123
Phone           : 9876543223
Specialization  : Data Structures

Full Name       : Dr. Pooja Agarwal
Email           : pooja.agarwal@college.edu
Password        : teacher123
Phone           : 9876543224
Specialization  : Mathematics

Full Name       : Mr. Arjun Mehta
Email           : arjun.mehta@college.edu
Password        : teacher123
Phone           : 9876543225
Specialization  : Computer Networks

Full Name       : Dr. Ravi Kumar
Email           : ravi.kumar@college.edu
Password        : teacher123
Phone           : 9876543226
Specialization  : Software Engineering

Full Name       : Prof. Meera Jain
Email           : meera.jain@college.edu
Password        : teacher123
Phone           : 9876543227
Specialization  : Operating Systems

Full Name       : Ms. Anjali Sharma
Email           : anjali.sharma@college.edu
Password        : teacher123
Phone           : 9876543228
Specialization  : English Communication

--- STUDENTS ---
Full Name       : Aarav Sharma
Email           : aarav.sharma@student.edu
Password        : student123
Reg. Number     : BCA2024001

Full Name       : Vivaan Patel
Email           : vivaan.patel@student.edu
Password        : student123
Reg. Number     : BCA2024002

Full Name       : Aditya Kumar
Email           : aditya.kumar@student.edu
Password        : student123
Reg. Number     : BCA2024003

Full Name       : Vihaan Singh
Email           : vihaan.singh@student.edu
Password        : student123
Reg. Number     : BCA2024004

Full Name       : Arjun Gupta
Email           : arjun.gupta@student.edu
Password        : student123
Reg. Number     : BCA2024005

================================================================================
DEPARTMENT: BCOM (Bachelor of Commerce)
================================================================================

--- HOD ---
Full Name       : Dr. Priya Sharma
Email           : hod.bcom@college.edu
Password        : hod123456
Phone           : 9876543211

--- TEACHERS ---
Full Name       : Prof. Sanjay Mehta
Email           : sanjay.mehta@college.edu
Password        : teacher123
Phone           : 9876543230
Specialization  : Financial Accounting

Full Name       : Dr. Rekha Nair
Email           : rekha.nair@college.edu
Password        : teacher123
Phone           : 9876543231
Specialization  : Business Economics

Full Name       : Prof. Deepak Joshi
Email           : deepak.joshi@college.edu
Password        : teacher123
Phone           : 9876543232
Specialization  : Business Mathematics

Full Name       : Ms. Anita Desai
Email           : anita.desai@college.edu
Password        : teacher123
Phone           : 9876543233
Specialization  : Business Communication

Full Name       : Dr. Suresh Pillai
Email           : suresh.pillai@college.edu
Password        : teacher123
Phone           : 9876543234
Specialization  : Law and Taxation

Full Name       : Prof. Geeta Rao
Email           : geeta.rao@college.edu
Password        : teacher123
Phone           : 9876543235
Specialization  : Management

Full Name       : Dr. Krishnan Iyer
Email           : krishnan.iyer@college.edu
Password        : teacher123
Phone           : 9876543236
Specialization  : Finance and Banking

Full Name       : Prof. Divya Menon
Email           : divya.menon@college.edu
Password        : teacher123
Phone           : 9876543237
Specialization  : Marketing and E-Commerce

Full Name       : Mr. Ramesh Nambiar
Email           : ramesh.nambiar@college.edu
Password        : teacher123
Phone           : 9876543238
Specialization  : IT and Office Automation

--- STUDENTS ---
Full Name       : Aisha Khan
Email           : aisha.khan@student.edu
Password        : student123
Reg. Number     : BCOM2024001

Full Name       : Rahul Nair
Email           : rahul.nair@student.edu
Password        : student123
Reg. Number     : BCOM2024002

Full Name       : Priya Menon
Email           : priya.menon@student.edu
Password        : student123
Reg. Number     : BCOM2024003

Full Name       : Siddharth Pillai
Email           : siddharth.pillai@student.edu
Password        : student123
Reg. Number     : BCOM2024004

Full Name       : Anjali Verma
Email           : anjali.verma@student.edu
Password        : student123
Reg. Number     : BCOM2024005

================================================================================
DEPARTMENT: BA (Bachelor of Arts)
================================================================================

--- HOD ---
Full Name       : Dr. Amit Patel
Email           : hod.ba@college.edu
Password        : hod123456
Phone           : 9876543212

================================================================================
DEPARTMENT: BSC (Bachelor of Science)
================================================================================

--- HOD ---
Full Name       : Dr. Sunita Rao
Email           : hod.bsc@college.edu
Password        : hod123456
Phone           : 9876543213

================================================================================
QUICK REFERENCE
================================================================================
Admin Password  : admin123456
HOD Password    : hod123456
Teacher Password: teacher123
Student Password: student123
================================================================================
